Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),2/12/2019,1/1/2020,3/2/2020,2/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,3/8/2020,1/9/2020,1/10/2020,2/11/2020
AAPL US Equity,APPLE INC,2.04532E+12,1,Technology,NASDAQ GS,UNITED STATES,US,4.116279125,137.98,53.15,3/23/2020,9/2/2020,79.75,66.04,73.41,77.17,74.7,60.23,72.27,80.46,91.03,108.94,134.18,116.79,108.77
ARAMCO AB Equity,SAUDI ARABIAN OI,1.8878E+12,2,Energy,Saudi Arabia,SAUDI ARABIA,SA,2.777777672,10.32,7.18,3/9/2020,12/12/2019,0,0,9.36,9.05,8.74,8.13,8.42,8.76,8.72,8.8,9.4,9.53,9.12
MSFT US Equity,MICROSOFT CORP,1.64237E+12,3,Technology,NASDAQ GS,UNITED STATES,US,4.789473534,232.86,132.52,3/23/2020,9/2/2020,43.23,149.55,157.7,174.38,172.79,152.11,174.57,182.83,204.7,216.54,227.27,212.46,202.33
AMZN US Equity,AMAZON.COM INC,1.57101E+12,4,Communications,NASDAQ GS,UNITED STATES,US,4.892857075,3552.25,1626.03,3/16/2020,9/2/2020,77.83,1781.6,1847.84,2004.2,1953.95,1907.7,2286.04,2471.04,2878.7,3111.89,3499.12,3221.26,3004.48
GOOGL US Equity,ALPHABET INC-A,1.20259E+12,5,Communications,NASDAQ GS,UNITED STATES,US,4.772727489,1816.89,1008.87,3/23/2020,11/9/2020,33.98,1288.86,1339.39,1482.6,1386.32,1102.1,1317.32,1434.87,1442,1482.76,1655.08,1487.9,1624.32
FB US Equity,FACEBOOK INC-A,7.9456E+11,6,Communications,NASDAQ GS,UNITED STATES,US,4.553571224,304.67,137.1,3/18/2020,8/26/2020,36.94,199.7,205.25,204.19,196.44,159.6,202.27,231.91,237.55,251.96,295.44,266.63,261.36
700 HK Equity,TENCENT,7.38114E+11,7,Communications,Hong Kong,CHINA,KY,4.852458954,81.64,41.56,11/18/2019,11/9/2020,75.71,42.54,48.2,48.92,50.07,48.29,53.79,55.34,64.33,69.54,69.55,66,77.61
BABA US Equity,ALIBABA GRP-ADR,6.98893E+11,8,Communications,New York,CHINA,KY,4.938461304,319.32,169.95,3/23/2020,10/27/2020,40.29,196.31,212.1,213.1,210.98,187.56,194.48,206.57,215.95,257.94,298,290.05,310.84
BRK/A US Equity,BERKSHIRE HATH-A,5.46485E+11,9,Financial,New York,UNITED STATES,US,4.5,350000,239440,3/23/2020,11/16/2020,4.99,330609,339590,334860,324500,261250,273975,275600,267020,298800,327440,318600,306375
V US Equity,VISA INC-CLASS A,4.67886E+11,10,Financial,New York,UNITED STATES,US,4.605263233,217.65,133.93,3/23/2020,11/9/2020,14.27,181.79,187.9,200.81,192.33,153.11,175.57,194.35,193.78,190.69,213.35,203.35,184.74
2330 TT Equity,TSMC,4.39852E+11,11,Technology,Taiwan,TAIWAN,TW,4.666666508,17.73,7.74,3/19/2020,11/16/2020,60.55,10.08,11.08,10.4,10.33,8.96,10.24,9.87,10.74,14.13,14.8,14.92,15.25
WMT US Equity,WALMART INC,4.31977E+11,12,"Consumer, Cyclical",New York,UNITED STATES,US,4.289473534,153.4,102,3/16/2020,11/16/2020,29.12,119.28,118.84,114.27,115.88,114.14,122.92,123.96,119.69,129.3,147.59,143.08,140.4
JNJ US Equity,JOHNSON&JOHNSON,3.97119E+11,13,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.400000095,157,109.16,3/23/2020,4/23/2020,12.12,137.36,145.87,150.17,140.02,128.81,148.29,147.19,140.38,147.35,151.52,147.32,138.69
TSLA US Equity,TESLA INC,3.86829E+11,14,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,2.810810804,502.49,65.42,11/26/2019,9/1/2020,594.36,66.97,83.67,156,148.72,96.31,140.26,179.62,223.93,297,475.05,448.16,400.51
005930 KS Equity,SAMSUNG ELECTRON,3.57737E+11,15,Technology,Korea SE,SOUTH KOREA,KR,4.826086998,60.56,33.65,3/19/2020,11/16/2020,27.75,42.49,48.27,47.99,46.17,37.02,40.84,41.82,43.79,47.55,45.71,50.03,50.59
JPM US Equity,JPMORGAN CHASE,3.57554E+11,16,Financial,New York,UNITED STATES,US,4.310344696,141.1,76.91,3/19/2020,1/2/2020,-8.27,131.47,139.4,133.37,121.52,84.36,93.25,98.6,93.26,96.1,100.14,96.97,100.25
PG US Equity,PROCTER & GAMBLE,3.5317E+11,17,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.956521749,146.92,94.34,3/23/2020,11/9/2020,17.75,122.72,124.9,125.11,119.56,109.33,116.82,117.25,119.98,131.29,138.18,139.24,138.5
UNH US Equity,UNITEDHEALTH GRP,3.38558E+11,18,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.5,367.95,187.72,3/23/2020,11/9/2020,24.9,279.66,293.98,274.02,273.11,237.32,284.51,305.93,297.73,303.61,312.83,313.07,312.1
MA US Equity,MASTERCARD INC-A,3.34419E+11,19,Financial,New York,UNITED STATES,US,4.574999809,367.25,199.99,3/23/2020,8/28/2020,17.64,286.47,298.59,324.52,306.74,228.61,268.74,301.4,301.17,312.59,356.9,343.37,289.97
NVDA US Equity,NVIDIA CORP,3.33556E+11,20,Technology,NASDAQ GS,UNITED STATES,US,4.439024448,589.07,180.68,3/18/2020,9/2/2020,159.03,209.25,235.3,240.33,276.43,243.07,282.78,352.25,381.2,440.41,552.84,544.58,503.23
NESN SW Equity,NESTLE SA-REG,3.32421E+11,21,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.225806236,123.55,88.03,3/16/2020,7/30/2020,2.63,103.36,108.48,110.73,105.12,103.18,106.09,108.04,111.32,118.93,119.58,119.87,113.55
600519 CH Equity,KWEICHOW MOUTA-A,3.31475E+11,22,"Consumer, Non-cyclical",Shanghai,CHINA,CN,4.680850983,268.04,135.07,3/19/2020,9/2/2020,41.03,160.95,169.89,142.98,156.02,155.35,179.19,199.15,211.35,238.94,263.9,245.69,250.17
SPY US Equity,SPDR S&P 500 ETF,3.25581E+11,23,Funds,NYSE Arca,UNITED STATES,US,0,364.38,218.26,3/23/2020,11/9/2020,16.95,311.64,321.86,324.12,309.09,246.15,282.79,305.55,310.52,328.79,352.6,337.04,330.2
HD US Equity,HOME DEPOT INC,3.00945E+11,24,"Consumer, Cyclical",New York,UNITED STATES,US,4.117647171,292.95,140.63,3/18/2020,8/27/2020,22.93,217.62,218.38,231.54,229.94,178.63,218.57,247.29,248.15,266.18,285.94,277.62,270.74
ROG SW Equity,ROCHE HLDG-GENUS,2.96561E+11,25,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.466666698,379.84,280.59,3/16/2020,5/18/2020,4.2,305.82,325.09,336.61,329.05,329.47,349.25,346.09,351.95,352.92,350.03,343.06,329.62
MC FP Equity,LVMH MOET HENNE,2.85901E+11,26,"Consumer, Cyclical",EN Paris,FRANCE,FR,3.96875,576.29,301.45,3/16/2020,11/11/2020,24.18,439.18,464.48,438.77,420.48,354.68,387.27,421.72,441.1,437.42,473.42,481.19,471.69
DIS US Equity,WALT DISNEY CO,2.61428E+11,27,Communications,New York,UNITED STATES,US,4.354838848,153.41,79.07,3/18/2020,11/26/2019,-3.91,150.62,144.63,141.32,119.98,94.92,105.5,118.77,113.01,116.35,133.55,123.31,120.13
601398 CH Equity,IND & COMM BK-A,2.56837E+11,28,Financial,Shanghai,CHINA,CN,4.473684311,0.87,0.69,9/4/2020,1/6/2020,-8.7,0.83,0.84,0.77,0.77,0.73,0.73,0.72,0.71,0.71,0.73,0.72,0.74
HAACU US Equity,HEALTH ASSURANCE,2.5551E+11,29,Diversified,NASDAQ CM,UNITED STATES,US,0,10.44,10.15,11/13/2020,11/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0
VZ US Equity,VERIZON COMMUNIC,2.51969E+11,30,Communications,New York,UNITED STATES,US,3.599999905,62.22,48.84,3/25/2020,12/20/2019,5.63,59.96,61.4,58.05,57.32,52.92,56.83,55.78,54.67,57.24,59.16,59.45,57.7
3690 HK Equity,MEITUAN-B,2.41631E+11,31,Communications,Hong Kong,CHINA,KY,4.716980934,43.62,9.03,3/19/2020,11/9/2020,212.64,13.37,13.08,12.81,12.76,11.98,13.39,19.35,22.18,25.88,34.14,31.2,38.01
BAC US Equity,BANK OF AMERICA,2.38589E+11,32,Financial,New York,UNITED STATES,US,4.034482956,35.72,17.95,3/23/2020,12/27/2019,-15.95,33.43,35.22,32.97,29.37,19.77,23.08,24.61,23.26,24.99,25.71,24.1,24.08
