,Unnamed: 0,Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),2/12/2019,1/1/2020,3/2/2020,2/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,3/8/2020,1/9/2020,1/10/2020,2/11/2020,ratio_yearvar_meanprice,performance category,Value category,performance category_2
0,0,AAPL US Equity,APPLE INC,2.05E+12,1,Technology,NASDAQ GS,UNITED STATES,US,4.116279125,137.98,53.15,3/23/2020,9/2/2020,79.75,66.04,73.41,77.17,74.7,60.23,72.27,80.46,91.03,108.94,134.18,116.79,108.77,0.956738315,pos_performers,High Value,high_positive_performance
1,1,ARAMCO AB Equity,SAUDI ARABIAN OI,1.89E+12,2,Energy,Saudi Arabia,SAUDI ARABIA,SA,2.777777672,10.32,7.18,3/9/2020,12/12/2019,0,0,9.36,9.05,8.74,8.13,8.42,8.76,8.72,8.8,9.4,9.53,9.12,0.384372131,no_data,High Value,no data
2,2,MSFT US Equity,MICROSOFT CORP,1.64E+12,3,Technology,NASDAQ GS,UNITED STATES,US,4.789473534,232.86,132.52,3/23/2020,9/2/2020,43.23,149.55,157.7,174.38,172.79,152.11,174.57,182.83,204.7,216.54,227.27,212.46,202.33,0.540617718,pos_performers,High Value,high_positive_performance
3,3,AMZN US Equity,AMAZON.COM INC,1.57E+12,4,Communications,NASDAQ GS,UNITED STATES,US,4.892857075,3552.25,1626.03,3/16/2020,9/2/2020,77.83,1781.6,1847.84,2004.2,1953.95,1907.7,2286.04,2471.04,2878.7,3111.89,3499.12,3221.26,3004.48,0.771315364,pos_performers,High Value,high_positive_performance
4,4,GOOGL US Equity,ALPHABET INC-A,1.20E+12,5,Communications,NASDAQ GS,UNITED STATES,US,4.772727489,1816.89,1008.87,3/23/2020,11/9/2020,33.98,1288.86,1339.39,1482.6,1386.32,1102.1,1317.32,1434.87,1442,1482.76,1655.08,1487.9,1624.32,0.568910648,pos_performers,High Value,high_positive_performance
5,5,FB US Equity,FACEBOOK INC-A,7.95E+11,6,Communications,NASDAQ GS,UNITED STATES,US,4.553571224,304.67,137.1,3/18/2020,8/26/2020,36.94,199.7,205.25,204.19,196.44,159.6,202.27,231.91,237.55,251.96,295.44,266.63,261.36,0.741378166,pos_performers,High Value,high_positive_performance
6,6,700 HK Equity,TENCENT,7.38E+11,7,Communications,Hong Kong,CHINA,KY,4.852458954,81.64,41.56,11/18/2019,11/9/2020,75.71,42.54,48.2,48.92,50.07,48.29,53.79,55.34,64.33,69.54,69.55,66,77.61,0.692846236,pos_performers,High Value,high_positive_performance
7,7,BABA US Equity,ALIBABA GRP-ADR,6.99E+11,8,Communications,New York,CHINA,KY,4.938461304,319.32,169.95,3/23/2020,10/27/2020,40.29,196.31,212.1,213.1,210.98,187.56,194.48,206.57,215.95,257.94,298,290.05,310.84,0.641559408,pos_performers,High Value,high_positive_performance
8,8,BRK/A US Equity,BERKSHIRE HATH-A,5.46E+11,9,Financial,New York,UNITED STATES,US,4.5,350000,239440,3/23/2020,11/16/2020,4.99,330609,339590,334860,324500,261250,273975,275600,267020,298800,327440,318600,306375,0.362628631,pos_performers,High Value,moderate_positive_performance
9,9,V US Equity,VISA INC-CLASS A,4.68E+11,10,Financial,New York,UNITED STATES,US,4.605263233,217.65,133.93,3/23/2020,11/9/2020,14.27,181.79,187.9,200.81,192.33,153.11,175.57,194.35,193.78,190.69,213.35,203.35,184.74,0.442227866,pos_performers,High Value,moderate_positive_performance
10,10,2330 TT Equity,TSMC,4.40E+11,11,Technology,Taiwan,TAIWAN,TW,4.666666508,17.73,7.74,3/19/2020,11/16/2020,60.55,10.08,11.08,10.4,10.33,8.96,10.24,9.87,10.74,14.13,14.8,14.92,15.25,0.851420455,pos_performers,High Value,high_positive_performance
11,11,WMT US Equity,WALMART INC,4.32E+11,12,"Consumer, Cyclical",New York,UNITED STATES,US,4.289473534,153.4,102,3/16/2020,11/16/2020,29.12,119.28,118.84,114.27,115.88,114.14,122.92,123.96,119.69,129.3,147.59,143.08,140.4,0.408652731,pos_performers,High Value,high_positive_performance
12,12,JNJ US Equity,JOHNSON&JOHNSON,3.97E+11,13,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.400000095,157,109.16,3/23/2020,4/23/2020,12.12,137.36,145.87,150.17,140.02,128.81,148.29,147.19,140.38,147.35,151.52,147.32,138.69,0.333192104,pos_performers,High Value,moderate_positive_performance
13,13,TSLA US Equity,TESLA INC,3.87E+11,14,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,2.810810804,502.49,65.42,11/26/2019,9/1/2020,594.36,66.97,83.67,156,148.72,96.31,140.26,179.62,223.93,297,475.05,448.16,400.51,1.930947647,pos_performers,High Value,Very_high_positive_performance
14,14,005930 KS Equity,SAMSUNG ELECTRON,3.58E+11,15,Technology,Korea SE,SOUTH KOREA,KR,4.826086998,60.56,33.65,3/19/2020,11/16/2020,27.75,42.49,48.27,47.99,46.17,37.02,40.84,41.82,43.79,47.55,45.71,50.03,50.59,0.595496708,pos_performers,High Value,high_positive_performance
15,15,JPM US Equity,JPMORGAN CHASE,3.58E+11,16,Financial,New York,UNITED STATES,US,4.310344696,141.1,76.91,3/19/2020,1/2/2020,-8.27,131.47,139.4,133.37,121.52,84.36,93.25,98.6,93.26,96.1,100.14,96.97,100.25,0.597723269,neg_performers,High Value,moderate_negative_performance
16,16,PG US Equity,PROCTER & GAMBLE,3.53E+11,17,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.956521749,146.92,94.34,3/23/2020,11/9/2020,17.75,122.72,124.9,125.11,119.56,109.33,116.82,117.25,119.98,131.29,138.18,139.24,138.5,0.419833919,pos_performers,High Value,moderate_positive_performance
17,17,UNH US Equity,UNITEDHEALTH GRP,3.39E+11,18,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.5,367.95,187.72,3/23/2020,11/9/2020,24.9,279.66,293.98,274.02,273.11,237.32,284.51,305.93,297.73,303.61,312.83,313.07,312.1,0.62008045,pos_performers,High Value,high_positive_performance
18,18,MA US Equity,MASTERCARD INC-A,3.34E+11,19,Financial,New York,UNITED STATES,US,4.574999809,367.25,199.99,3/23/2020,8/28/2020,17.64,286.47,298.59,324.52,306.74,228.61,268.74,301.4,301.17,312.59,356.9,343.37,289.97,0.554595518,pos_performers,High Value,moderate_positive_performance
19,19,NVDA US Equity,NVIDIA CORP,3.34E+11,20,Technology,NASDAQ GS,UNITED STATES,US,4.439024448,589.07,180.68,3/18/2020,9/2/2020,159.03,209.25,235.3,240.33,276.43,243.07,282.78,352.25,381.2,440.41,552.84,544.58,503.23,1.149943567,pos_performers,High Value,Very_high_positive_performance
